,Comment Head,Rating,Review,Name,Date
326,Pleasant. Powerful. Perfect.,5,"The Review is after 3 Month -Pros -1.Good Battery Life2.Camera are well in the league of Flagships.Those who are commenting that Camera is bad, don't know how to use it. Colour reproduction is good. Macro gets it job done. And Highlight is 64 MP. Details are clear.3. MIUI11 is Fluid & Best if You know how to disable ads.4. Display isn't AMOLED, But it is surely in Higher League than average LCD Panels.5. Good Edge Detection in Both Front & Back Cameras.6. Excellent Processor - Helio G90T. Played PuBG, CoD, and Mortal Kombat at once & It handled beautifully.Cons -1. Charging Speed isn't that much great. But first 60% are fast enough to power you for a day.2. Alexa isn't much responsive & little buggy. Can be updated by SW Update.3. If using without a cover, Slippery body & Camera Bump may be at disadvantage.4. RAM Management is 50-50.5. Slow Motion camera flickers in Low Lighting.Will add a Long Term review also :)",Anurag Ghuge, 27 January 2020
327,Best phone,5,Besttttt,Rishav b., 16 March 2022
328,worth every penny,5,"Just wow!!i received the package in 3 days of ordering.. Very well packed,, thanks to the courier partner..Now coming to the specs of the phone.. The phone is just awesome & it goves brilliant outcomes.. The camera is fantastic, just wow... I just loved it.. I was lucky enough to get an 8 gb+ 128 gb variant by exchanging my redmi note 6 pro & paying more 12.4k.. The processor is on another level.. No wonder redmi gives a tough competition to any other smartphones in todays market.. I play high end games at high graphics & frame rate is just awesome.. I get 60 fps at highest speed anyone could ever imagine..the best smartphone in the market.The camera has too many modes including portrait,,panorama, night mode & pro modes respectively.. The video also got some cool features such as slow motion,, super slow motion & short videos.. But you cannot expect video cordings at higher frame rates & also it applies to the slow & super slow motion..All in all a great smartphone for gaming, camera & processor.. Thanks amazon",Deeptiman Dwibedy, 7 January 2020
329,Too much hang and automatic switch off and Screen blur...,3,Not good....Too much hang and automatic switch off and Screen blu ..like damage screen.,Mujeeb Shaik., 6 February 2022
330,Paisa wasool,4,"Probably this is the most beautiful looking phone in this price range, no other brand is even close. But, it has few drawbacks of it's own, battery life being one of them. You expect at least a day and half with 4500 mAh pack,but lasts just one day at most.  Some pre-installed apps can not be removed and that's a bummer. Finger print is fast and accurate, no complaints in that department. Camera is good, not exceptional, but again for the asking price it's better than the competitors. It has some water resistant rating, which is very thoughtful from Redmi, couldn't have asked for more.All in all satisfied with the look and performance.",Amzad Ansari, 22 January 2020
331,Best in segment for sure,4,No doubt its been honoured with a ton of awards. No doubt its best in segment for now keeping in mind the price. The camera is really worth mentioning and details are really sharp and clear when vompared to other ones but the image processing and the colors could have been better. The battery life is good and gives me easily a day's backup keeping in mind that I am a hardcore user. The fingerprint sensor also does a preety good job and is surely fast. You can go with this and definitely this wont disappoint you. And i have given few shot examples and few of them can be used as wallpaper also!!,Veena, 27 January 2020
332,WHAT A BEAUTY!💯❤️,5,"Do, Day 3 with this beast and honestly, this is the absolute best under 20k, in my opinion. The picture quality, the camera, the design, the build, the performance, the battery, everything is just way too good to be true!Although I haven't started gaming on this beast yet as it is so new and I don't wanna put any kinda pressure on the processor, I can tell you that the G90T is the absolute best and can easily handle anything you throw at it so don't worry about that!The overall smoothness of the device is just so good! The in-hand feel with the glass back is so premium, it feels like a device priced at way beyond 17k.To sum it up, the Redmi Note 8 Pro is worth all your penny!💯💯❤️❤️",Sagnik Das Gupta, 23 July 2020
333,Redmi note 8 pro,4,Nice mobile phone for this price... Good camera quality fast fingerprint and face unlock...we can charge fully within 1 hr and 45 minuts (i charged 50% in just 30 minuts) and battery draining is normal like other phones... It doesnt have amoled display but it have good display quality... Awsome gaming experience...no lag and normal heating while gaming but not a big issue...it comes with android 9 and i got android 10 when i updated... I sure this is the king in 15000-18000 price range...,ameen p., 10 July 2020
334,Note8Pro review after 1 month of usage,4,"I have used this phone for almost a month now.This is good phone, few pros and cons as belowPros:1. Good in display2. Touch response is awesome3. Batter life for normal phone usage along with bit of browsing and 30 min to 1 hr video is fetching 1 complete day. Earlier I was getting 1.5 days4. Camera looks pretty good. I am still yet to explore the available optionsCons1. Battery life slowly getting reduced, which is worrying point2. Sometimes screen gets into landscape mode (now it is) and gets back to portrait mode only when phone is restarted",Vinay V Uttarkar, 9 March 2020
335,TECHNOLOGY AT AFFORDABLE COST,5,"First of all, it's the best budget phone under 15k. To be frank redmi is the phone known for ""TECHNOLOGY AT AFFORDABLE COST"".Pros:1)The phone's performance is top notch2) The camera is considerably good. You can't expect much of pro pics even though they mention it as 64mp .3) The design is Ultimate. It's like competing with One plus 7 pro. It's resemble merely like a premium brand phones. The electric Blue is lit.4) Overall the phone is best for it's speedy and glassy and classy performance.Cons :1) If you're considering this phone for your privacy and banking purpose it is not at all advisable. There are a lot of advertisement and access to third parties. It is merely easily accessible by any third parties which envisages them to pop advertisement for us.2) The screen quality is OK as it is LCD. Now it's the era a of AMOLED displays.3) Heating is considerably fine .4) Prone for camera scratch so use a good back cover .",Hari, 2 December 2019
336,Good job... Blindly go for it,4,Really Beast phone by Mi in this compromising price.....,Jay S., 21 October 2021
337,Awesome buy. Camera quality superb,4,Redmi note 8 pro is my best purchase so far.  This fits your budget and it's battery life and camera quality is awesome.. So if ur looking for good camera quality I suggest u go for it.The only cons I can say is when phone is in loudspeaker the vibration can be felt on ur hands.. I am sure if it is with my phone Or with model..Other than that this phone is simply superb n worth your money.,Sahana Puthran, 6 August 2020
338,Best Midrange smartphone for gaming,5,"Performance :- When it comes to performance with G90T they just killer every mid range phone in terms of performance it's better then Snapdragon 712,730 and equal or better then 730G.When I play pubg in HDR ULTRA I realise I have made the best decision  CAMERA:- The quality and clearity of its camera is awesome, In day light it capture every detail (Har deetail note kiya jaye ) But XT performances better their but In low light condition Clearly Note 8 Pro is winner and the macro camera just zoom till 2cm and the picture  comes with great details and looks awesome.  BATTERY:- 4500 MAH battery works definately great but an IPS LCD pannel don't save battery  BUILD QUALITY :- It comes with glass body which feel premium in hands and looks beautiful It is one of the best phone in mid range segment in build quality  CONS:- 1) Consume more power during playing games because the processor is build in 12nm technology  2)They should provide Super amoled in this price range.",Rahul, 24 December 2019
339,The most powerfull mobile in good price range,4,"This device comes in normal xiaomi packaging.I used this product from last 7 daysBelow is reveiw-1-Display is top notch, as usual good display.2-Back cover is laminated with gorilla Glass 5 which is a premium finish3-Speaker is good not more that Redmi Note 5 Pro but okay4-Performance awsome..No even hang single time from last week5-Camera us very nice specialy night mode is supereb as compair other mobile in same price range6-Battery life is too good7-Screen size is bigger but mobile size is same as redmi note 5 proAdd On -1-Alexa app is some attractive future...2-Device seems heavier but without cover is ok4-A lit bit of heating issues but average",Sudhir Yadav (NBD), 20 November 2019
340,After 4 month of use note 8 Pro,4,"Overall one of the best product in the segment..Using from jan 2020 till may.Works fine...smooth...Whrn space fulled it slows down little.Got 🔥 heat when used in direct sunlightIn room temperatures it also gets heated..and cools down also...after few time...Charging speed is fine...Cpu is doing great .And display is good.But the size of phone i don't like actually the gig phones.Finger print scanner is bit tricky as just below the camera but will get use to it. After few times.For more inf just ask more,Thank you",Ronak, 6 May 2020
341,Redmi Note 8 pro Week Review,4,"Starting with the delivery thing.I received this product on the third day since I ordered.Really fast delivery server and the product was also in good condition maybe depending on the location.I live in North Delhi.This is a good product, good value for money product.You can customize anything on the phone like- fonts, icons, it also has a cool dark more.Performing wise this phone is really performing well.But there are some heating issues but not too much..All together it can satisfy your regular needs.After a week phone is maintaining it's accuracy and performance level.",Arpan, 24 February 2020
342,Review after 2 months use.,4,"Performance is excellent. Touch and fingerprint sensor is also up to the mark. Sound quality is good. Camera quality is not at all to the mark as presented by company. The pics are blur and it is not acceptable when you have a so called 64 MP camera.Vidoes are much better than photos. Also slow motion feature is great.Overall it is a great phone, but purchasing 8GB ram varient is not required. J have 8GB ram varient and so I felt that there is no such difference in performance as compared to a 6GB ram varient.",Chetan choudhary, 7 March 2020
343,Overall happy but...,4,"####Review after usage of 12 daysDespite 6GB, it lags quite frequently when I want to return to home screen.Google voice search will starts even when phone is idle.####Review after 3 days of purchase.Well I am not very impressed. I were using NOTE4 before I bought Note 8 Pro 6 GB/64GB variant.Long size screen is somewhat troublesome when operating with one hand.Many a time there is lag when coming back to home screen from any other applicable or other screens though not too often but there is.Whenever there is a white background, BACK button goes invisible.But I am happy as those are very small things.",Vaibhav, 22 December 2019
344,Worth buying,4,"Finger print sensor doesn't work properly after few months usage. Touch screen issues while Playing pubg, can be resolved by removing three fingers screen shot option and other sensitivity options in game booster. FPS for pubg is not as expected these are tho only complaints. But good phone for the price range I bought at Rs14500 6GB 128 GB using all offers. No heating issue at all I mentioned only cons everything else are pros in this phone.",Mallesh Dharmaraj, 1 September 2020
345,Very Good,5,,Dakkhancha Raja Services, 9 March 2022
346,Good for the price with some short comings.,3,"Ordered this during lockdown for my mom, phones price were increased a lot during the time. But you cant go wrong with the product. Have been using Redmi phones for a long time now and the offer good quality for the price.Pros:-- Good camera.- Good processing power can handle most games like pubg and all.- Good sound quality note it has a single speaker.- 6GB ram makes it future proof, for atleast next 3 years, as we know the bloatware in android.Cons:--Sadly it does not have Amoled screen wished it could have but again the price so not complaining.-One thing i noticed is network quality is always a con on redmi phones, it gives a headackhe after long calls not sure what might be the cause, tried the same sim in realme x2, iphone XR, even iphone SE didn't face the issue.-Also please note the screen quality is not that good. Its okay for daily usage but viewing angles are not that great.- Ads and inbuilt bloatware on redmi phones is annoying.",harshal pandit, 27 August 2020
347,Perfect phone but price 16999 not a good,4,Best phone I am happy but price high,Rakesh P., 14 October 2021
348,Overall beats urs aspectation,4,"I am a total hardcore mobile user and for me performance matters and battery life too on a daily bases. And for sure performances stands out and battery life is a decent too,if I charge my phone 100 from morning I have too charge it in later half of the day once to complete my day.Camera is  a kind of brilliance for me and ram management is quiet decent.Build is superb too. But after using it for 3 months in pubg sometimes the game freezes and the game need to be restarted it happened for 6 times till the date of purchase.",Dhanesh dash, 6 March 2020
349,RN8 PRO or Other Phone?,5,"If your budget is under 20k or 15k. Go for it! More down. ^_^*Display is good for the price. FHD+ HDR.*Design is awesome. Halo White is mine.It's curved at the back making it easy to hold. Gorilla Glass 5 BACK tho.*MediaTek G90T works well, hardly any heating issues. Sometimes you can use it as your PRESS. But lot of sunlight required.*Battery is awesome(4500Mah) you get 18W charger, in the box itself which charges the phone in 2hours.*Camera is wonderful except...64MP works well, 10X zoom, Night mode, Macro Lens, is okay. But Wide angle sucks a bit as the image colour gets poorer.The Fifth camera works well too.Selfie!!! Obviously. Good for pouts ladies😙ALEXA is okay okay. Prefer Google assistant as default and Add ALEXA too.Now comparison with Realme XT.If you really need indisplay Finger Print Scanner and AMOLED display.Prefer Realme XTOr if back scanner and HDR FHD+ display okay. Go for Redmi Note 8 Pro as it is better in camera and processor.Thank you, Hope this helps.(MIUI 11 is in December)",Veena rani, 8 November 2019
350,Mi is best,5,"It's really a great phone. I don't know why people are bothered about the heat issue. I have always used Mi phones and never experienced abnormal heat issues. I mean if u use excessive gaming while charging on a hot day what do you expect?I have recommended note 8 pro to my friends and family. They really liked the electric blue colour and have purchased the same. 🤗Battery life and other specifications are good. I personally like the inbuilt online music app, mi cloud services, and the range of themes. My partner and I bought note 8 pro and Samsung galaxy A80 (rs 49000) for him at the same time. And his phone's condition is 😆 now.",Ayeshah, 23 September 2020
351,Good option to buy Redmi note 8 pro for this price,4,"Pros1. Inbuilt Amazon Alexa2. Turbo gaming option3. Lot of inbuilt applications like wps office, cleaner, screen recorder etc4. Option to remove google advertisement5. Screen clarity, resolution6. Option to clone appsCons1. Battery, to recharge everyday2. Heating the mobile while playing Pubg3. Struck the mobile sometimes while playing pubg mobile liye4. Mobile is too smooth, chance to slip from hands5  camera lens are need to protect by pouch otherwise it may got damage",kambham srinivasulu, 17 July 2020
352,Overall Good Power Phone.,4,"Overall good budget phone with lots of power and features. Camera App is good, Battery backup good too. Fast Charger is working great. Specifically liked the Calender App with integrated Panchang and other stuffs. Not sure if that Calender app is available in other Android Mobiles and iPhones.Found one serious issue after the latest update to MIUI 11 where Incoming SMS causes the audio to disappear, for a while, during an ongoing call. Not sure if Mi is going to release any Fix.Edit: 05-MarAfter using these many days I feel it is a bit heavy to the hand and pocket.",Prabhat, 10 February 2020
353,Redmi Note 8 Pro (worth for what you paid),5,"                    The media could not be loaded.                 I got it in first sale and delivered next, delivery was very fast, so been using this phone for 15 days now.Tempered glass, surely there is a new thing called unbreakable glass which actually breaks lol.So don't go for online but it from local store something and try Samsung M30s tempered glass company Pinglo its cheap fits good instead of redmi note 8 pro one.Review(Updating soon more)Yea phone looks amazing and have really good looks.Its bit too heavy to hold sometimes with one hand.1st week phone might get heated but then everything was gone liquid cooling actually working maybe need time to settle down first time.Doing some geat testing will update you with results.Performance : Ram management is really good and smooth. Very responsive.Gaming : So i put settings on smooth+ Extreme on PUBG Mobile and also HDR+ULTRA best part with gaming screen recording on FHD still gameplay was smooth and i got average frame rate of 39 and 40 with recording ON an without that it obviously goes higher.Slow motion works good, but i can't expect it to be very good at this price range.Macro is doing great job just it need more light ans sometimes using flash ruins it. I have uploaded some samples.",Anshul Gumber, 6 November 2019
354,It is good phone for normal use,5,"It has good battery life, works very well, it has good camera quality also",Rahul, 18 February 2022
355,All Time Best Mobile Phone With All in One,5,"                    The media could not be loaded.                 Anyways, the Redmi Note 8 Pro is quite comfortable to hold and operate and looks quite premium for its price. The bezels around the display (and even at the bottom) are extremely narrow and the selfie camera is housed within a v-shaped notch.The quad-camera module on the back juts out quite a bit and there’s a capacitive fingerprint sensor that you can easily pass off as the fourth camera sensor from a distance. This elevated camera system isn’t prone to scratches (so far) but accumulates too much dirt and grime around the edges.More than used 1 month ago Great experience with Redmi Note 8 pro 8gb 128gb BlackProsRobust design with dual Gorilla Glass 5 panels.Bright LCD panel.The brand new MediaTek Helio G90T is snappy and efficient at the same time.Outstanding battery life.The main 64MP sensor is versatile and delivers excellent images at day and night.The selfie camera is also pretty good.Great video recording quality overall.Supports USB PD charging, comes with USB-C to USB-C cable and appropriate charger in the box.ConsThe macro and ultrawide cameras are uninspiring to say the least.Video recording in 1080p leaves more to be desired.No selfie via FingerprintNo MIUI Always on Display",Imilyasgns, 3 December 2019
356,Nice,5,Good,SYED MOIZUDDIN, 15 March 2022
357,अच्छा,5,सुन्दर,Jitendra Singh, 10 March 2022
358,Good,4,Good,Mohd shuaib ansari, 9 November 2021
359,Wow,5,Excellent,Dhananjay Pradhan, 13 March 2022
360,Good product,4,This phone is good but network signal and voice quality is poor. Every time person on another side unable to listen words correctly.,Santosh Vispute, 6 July 2021
361,Good,4,Good,Swaraj. S, 9 November 2021
362,Look for better options.,5,"I find the phone great...It's heavy compared to other cell phones (200 gms)I must says it's better than One Plus Series considering the functions & the price.The Night Camera is useless, but the 64 mp is great.Charging is excellent, no need to buy any additional charger 18 w is great.Video recording, Onscreen recording & Call Recording is excellent.MI interface is very smooth & easy for non MI users like me.Sound could have been bit louder, but I still love my Halo White phone.Functioning is very very smooth & it's a pleasure using it. Worth every penny of my hard earned money. I also got a discount of 1800 Rs using the Axis Bank Card.My Review after using for 2 months -Too too heavy.Too long cannot use by single hand.Heating issues during recording & also during charging.Camera is really useless.Takes too long to charge.Personally I am fed up with its weight & switching to my One Plus.",Imperial, 7 November 2019
363,Decent phone in under 16k,4,I have been using the phone for 3 days now.The phone almost delivers on almost everything it says it does.I haven't faced any heating problem which I was worried about with mediatek SoC.Cons:- The facial recognition is worst I have seen. Anyone and anything can unlock the phone.- The camera bump on back is big and spoils the back design- The camera doesn't deliver on 64MP but it's not bad when compared to an avg 48MP camera- The side frame of the phone looks cheap compared to premium finish on back and front- Fast charging is not that fast and takes about 2 hours for full charge,Shankey Poddar, 16 November 2019
364,Budget smartphone @15k,4,"Budget smartphone:Pros.1. Great camera features (64 MP).2. Stylish design3. Best features at just 15k.4. Battery- without game one full day, with game half day.5. Alexa inbuiltCons.1. Confusing settings2. Selfie camera is ok, ok.. not satisfied3. Heating during charging4. Security perspective not satisfied ( they hides our logged in details and then we have to find the account and log it out).5. Simple Display ( not amoled )6. Google features are lacking i.e no direct shortcut for google, Gmail search ( problem in multiple mail logins ).4 star for 64 MP camera...",Hemang Makwana, 6 November 2019
365,Amazing awesome fabulous read the review that I gave,5,very very very nice on the fingerprint reader is very nice and works perfectly very quick the battery life is good but not best it will work for almost one day if used frequently and the camera quality is just awesome just awesome very very very awesome in all the things I give this a 5 rating and the battery backup four this is a very good phone the quick charger is very very nice and fast charger it charges the phone very fast literally loved it and just one more thing that the hello white colour is very beautiful you should wisely choose the colourand ifredmi company is reading this review so kindly turn the black charger into white because with white the white charger wale suit,Ejaz, 24 July 2020
366,My review after more than 10 days usage.,4,I used it for more than 10 days.These are the main points i noticed.......1. Battery is draining faster when playing games through wifi ( I only tested using wifi).2. Side of back camera heats quickly when using camera (only when using camera).3. Battery drops around from 3-5 overnight.(I dont know if it is a problem)4. No heating issues while gaming until now......(Tested for 1.40 hours along with a mobile case.I dont feel any heat.)5.charge dropped from almost 11% after playing for 1.40 hours (100 to 89).These are what i noticed until now....will update with more infos.,Akhil , 13 December 2019
367,Decent phone for the price range,4,"After using this device for few months i feel this is a good product for this price range. The camera quality is pretty good , the fingerprint reader is fast and the battery life is decent so if u want a device for casual gaming or for pics then it is best at this price range.The mediatek helio G90T processor is good for gaming and u can play games in high graphic  settings.",Amlan S., 24 July 2020
368,Thank you Amazon for your lightning Speed Service,5,"First of all I would like to thank Amazon for delivering this product in just 4hrs after placing my order. It was very good experience shopping with you'll. Wanted to give this phone has a Christmas gift to my mom. I could give this gift to my mom exactly on 25th December is only because of your quick service.Now, lets talk about the performance of this phone1) Processor: Very good and no lagging.2) Camera : Don't known about others, but in my case I am happy with its pic quality. The only drawback is that it has a protruding surface on the back of the phone. So whenever you keep there are chances that you are keeping the phine on the lens, so to solve this problem i bought a thick cover3) Battery life: Battery life is ok, I think this processor consumes more battery than snapdragon processor.Overall it is a very good phone at this price. Just go for it and you won't get disappointed.",Vishal V., 29 December 2019
369,Best Phone Of The Year,5,"I dont know why some people giving less stars,Let me give my review after using since 15 days.Giving my review as below.1.Finger print and face unlock is super fast.2. Touch is smooth.3. IPS Display which is HDR Enabled is upto the mark.4. Beautiful colours available i am using Gamma Green.5. Feel and Look is just awesome.6. Notch Display.7. Ram and internal Memory.8. Processor is super fast.9. All Camera working perfectly, i love macro camera.10. Beast for Gaming.11. Build quality is awesome just side with plastic xiomi can give metal at sides.Cons:1.While watching YouTube,video quality is poor, why!!! i don't understand as in other videos it is good.2. While playing games or doing heavy task temperature warm at processor side (which is left side of camera).This 2 things xiomi can fix by software updates.One less star just for this 2 cons.",Amiya Kumar Bhal, 22 January 2020
370,A satisfied customer,5,"I would say really nice after using for an year.I used Samsung Note 2,4 and 8 priousing this phone. Sine the price tag for Samsung Note series went high, I came across this affordable phone and brought one.Very nice product with less heat issues while playing top end games.Good charge backupNice pictures coming out and AI enabled camera is commendable.Used the product with a spigen protection and not even a scratch till now.Frequent updates with up to date upgrade and no compromise in speed.",Binuz, 15 March 2021
371,Value for Money,5,"I'm using it from around 2 months.Battery life and Fast charging are a big plus, easily can handle one full day with heavy usage.Performance is good, playing PUBG is good experience.Camera has decent performance. Low light issues are present.There are a lot of minor issues found.Like the copy,paste,select,select all tool bar doesn't show texts. Top scroll menu is not displayed sometimes when partly scrolled.Display is ok.Too many notifications from built in MI apps, can be muted though.Too many default apps, consumes some good space, still much space is available.Voice quality is good, ringtone is not very loud and sometimes is not heard, especially outdoors.Overall , keeping the day of my purchase in view, this is a good value for money.More options are now available under 15k now.Still this one stands as an option.",Dinesh, 26 February 2020
372,"Camera, battery back up superb",4,"Giving this review after three month use, battery life very good m not that game addict, basically took for extra memory and camera at this price point, had an issue with charging after two months use as charging stopped suddenly but service center people rectified as it was under warranty, charging is superb pictures come really nicely you just need to have tricks to bring out good pictures got it on exchange it cost me 12000 so I would say lucky to have that deal",KUMAR VIBHANSHU, 8 June 2020
373,😋😋 As Powerful as Hulk 😋😋,3,"After using 16 days, i am writing this review.Pros:1. Powerful processor. You can play high graphics game without lagging.2. Display is pretty good ( as they mentioned that they provide HDR FHD+ Display). I have compared this with redmi note 7s (which is FHD+). Color reproduction is Better compared to redmi note 7s.3. Battery life is also good. It last for 1.5 day by normal using.4. Performance of back camera is good in day light condition. it takes pretty good pics both 64mp and normal camera.Cons:1. In low light condition both the cameras back and front takes noise pictures.2. Sometimes Selfie camera survives to detect the depth of the picture. The pictures looks noisy. (Waiting for the new update, by which they may resolve this issue.)2. Video quality is not good in 1080p 30 fps. This problem can be resolved by using the higher mode (1080p 60fps or 4k) of the camera. ( You can not using these mode all the time as it needs more storage).3. When playing high graphics game then the battery becomes very hot. (But the plus point is, it has liquid cooling system which helps to reduce the heat rapidly.) # If you are a gamer then it is the best mobile under 18k.",M. Sarkar, 13 November 2019
374,"Super appealing Halo white variant - 6,128",5,"Review after extensive use of 13 days.6GB, 128GB VARIANT - Halo WhiteI will be to the point :Why you should buy?1. More than 1.5 days battery life with moderate usage and 30% left at the end of the days if used for extensive youtube and some gaming.2. Above average camera pics + 64MP lens has some great detail capturing capabilities.3. No lag, whatsoever be.4. Halo White variant looks damn appealing, no match.5. Gaming is buttery smooth, be it COD or pubg.6. Iphone like gesture navigating through screens.7. Buttery smooth user interface.8. Dark mode is super cool.9. Dedicated memory card slot with two Sim trays.10. Face unlock is super quick, never found the need to use fingerprint scanner.CONS1. No amoled screen. HDR support for videos matched the quality of amoled. So don't worry you won't find any issue with video qualityBest of luck with your purchase.",Tarun Vaid, 19 January 2020
375,After one month use,4,Overall good product.....finger print reader is very sensitive and good(finger print in back is little out dated....other phone launched finger sensor in screen) camera quality in not bad but not much what they and not much as axpected perfomance...that a quad camera gives .....Battery life is satisfied by me......i will charge only once in a day and always use whatsapp ..insta etc....(not play any games)And one little deffect is its little heavier and the camera is little projeted outside as other new models....u need good care about the camera lenseDisplay is good....sound also not bad.....but when calling ..speaker make louder and others can hear it,Shafeeq, 12 January 2020
376,Avarage.,4,"Pros:1. performance2,. Battery3. Design4. AlexaCons :1 . 64 MP camera is not upto the mark2. Macro is not good, comparing its competitor realme xt3. Normal hd and portriat mode is some what ok4. Heating issue while using camera5 .No google camera yet6. Miui hangs sometime.7.Fingerprint sensor is badly placed with camera array, which is a bit confusing. While try to unlock.Overall ratings 6 out of 10NB: ut is not the sensors of camera which is lacking the quality. It is the same sansors as realme xt. But  the image processing that lacks the quality.More reviews coming soon...",Vishnu, 7 November 2019
377,Osm,4,Amazing products,A.HAFEEZ, 1 November 2021
378,This phone is simply great,4,"This phone is simply great ,but I always rate one star less as there will always something is better than current. Camera Quality good and also great if you you know how to use camera if don't then High Quality DSLR cameras also can't do it for you.Some Add-onsBattery backup with compare of performance 1 day with gaming and videos.Warranty - every Mi services will accept and they have to accept with Amazon and Flipkart bill as these are their official online sale partnerDevice setup- After using all Android UI personaly I found MIUI has smooth and user friendly interface.",Ketul Prajapati, 6 December 2019
379,It's most affordable versatile phone until now,5,"This is a fantastic phone with realy cool camera features, it works perfectly superb in sun light. I have been using this phone for 1 year now and I love this phone for its performance and durability with copmpact stylish design.",Sufiyan Mirza, 7 November 2021
380,"About Camera, Battery and finger print",4,"I have been using this smartphone for 6 months. Here is my review on it. 📷 camera quality is best, 64 MP captures great picture quality and out door (natural light) shots are fabulous.🔋Battery performance is Pretty Good, If you are a heavy user then it heats lil bit i.e if play pubg for long it heats up lil bit.Over-all battery performance is good and long lasting.☝️ Fingerprint scanner is way too good. unlocks your device at eye blink time🔥.",pranit, 1 June 2020
381,Fully satisfied 🥰,4,Good product fully satisfied 🥰,Sarath.N, 18 October 2021
382,i would say mainly for gaming....,5,"m writing my review...after using it for 20 days  and i found this smartphone best or beast at its budget segment...the power of g90t is insane i bought this phn specially for gaming...so for those who needba killer gaming phn this smartohone is for u guys..other than that...i lov the camera quality i've posted few pictures clicked by the both front and back note 8pro camera...but i don't like slomo quality..while making a slomo video the quality of..the video become so blurlly all the time but slomo is smooth even at 960fpspros- gaming, camera...display is crisp and it support hdr 10+ 2sim with memory card 18watt fast charger in the box and its really fastcons - i think the battery backup is not like 4500mah maybe i play pubg alot , speaker sound is not loud but its good, and netflix nd amazon videos can't run in hd quality",deven gurung, 19 February 2020
383,Good budget mid-range phone,4,Honest review after using it for 2 months.The phone is however good at this price range but still the performance is not up to mark. The pubg or other sich heavy games runs good but after 30 min the phone suddenly heats up and gets you to the home directly. The phone hangs too. Despite of this the display is so weak. Battery is good enough for a day use. Camera is made for the pro users. The pictures I have shared are clicked in pro mode. You may go with the phone if you are not a phone addict and have minimum usage.,Prakhar Singh, 23 January 2020
384,Best phone under 20K,5,I am using it for more than 2 years and without any glitches or issues. BEST MOBILE TO HAVE IF YOUR BUDGET IS less than 20K,Vinodh vedaraj, 12 January 2022
385,Things you'd wanna know before buying the Redmi note 8 pro,4,"Fingerprint sensor is responsive only for a while, therefore you'd need to register it on regular basis and it's definitely frustrating.Battery life is good but it depends on user, me being a gaming intensive user the battery last for a good 3 to 4 hours.Camera is good but I would recommend getting Google camera installed cause it's better than the stock camera app.",Sunep, 5 December 2020
386,Its a fantastic phone for this price...,4,"The phone is good , I will mark it as 8/10. Has fantastic rear camera and touch . Good battery life and has gaming experience .. the front camera is sub normal and lil disappointing. The finger print is also not that satisfactory. Has almost all featured similar to pro max 9.. I will suggest u to buy this phone who play lot of games and expect good battery life. Over all I will give 4 stars.",Dr.NINAD, 28 June 2020
387,Beast of the budget segment,5,I have been using this phone since nearly 9 days now and i can assure everyone who is thinking of buying it to go for it. Yes the other brands give samoled display for the same price range but the processor this phone has is just awesome and the camera at the rear is super cool. I am a pubg player and it heats up normally as every other phone nothing above than that. It gives hdr plus ultra frames which is pretty awesome for a phone at this price range and i have attached some camera samples and nothing has been changed excpet some vignette that i added and the camera wins my heart everytime the outdoor photos are just excellent. And night mode is par excellence. The battery runs very easily for a day if used lightly and needs a charge in the evening after playing for nearly 2 hours of pubg. In love with this phone can't say anything other than just go for it! No questions to be asked😁,Prateek Kumar, 22 November 2019
388,Baap phone hai 15000 ke andr,4,Bhai kya bolu 15000 me ati maja aa gayaGlass bodyHelio g90t 2.05 ghz unlimited performace(sd 730g ko aaram se takar de sakta hai)Mali 800mhz super performanceQuad cam with 64 mpQuick finger reader20 mp selfie camAnd a better and bigger battery 4500mahWith 18w fast chargerBut the disadvantage is the miui ads that can be disable and the camera📷 bump is up from normal... You have to use a thik case which protects the phone and especially camera being getting scratch or thoda sa garam hota hai lekin vo software se thik kiya ja sakta hai.And but seriously the camera quality is super.,Mahesh patel, 19 November 2019
389,Great and this price,5,"Reviewing exactly after month of useFingerprint is lighting fast and if placement could be differentiated from camera bump would have been better.Camera is good but gives too much artificial colour during lighting conditions.Slow motion video 120,240,960ps but 960 is limited to 10sec only.Gaming this is best of all for this phone if ur gamer the best midrange to go on.games could played upto hdr at high frame rates.Battery would come upto a day at moderate usage and 2 if light usage playing games at high setting drain battery. Could be optimised with updates make it good.Ads which is present but could be turned of from bloatwares and etc.Mui11 is pretty good which was updated a week ago.Alexa work well but eats battery silently without usage.But Google voice is better.Weight is around 200 but u don't feel though.Gorilla glass protection is added plus for the phone both front and back.Screen is something interesting totally different from other note series and about 6.53 inch.",Praveen kumar, 29 November 2019
390,Satisfied,4,I'm satisfied with the mobile qualityI believe in redmi and it's proved. I used for more than 1 and half year still I'm using that phone without any lag,Adarsh, 13 May 2021
